market_id,event_title,market_question,winning_outcome,date,price_no,price_yes,latest_finance_report_date,latest_finance_summary,finance_gap_flag,finance_events_today_json
504868,Democratic VP nominee on election day?,Will Michelle Obama be D-nom for VP on Election Day?,No,2024-08-10 00:00:00+00:00,0.985,0.015,,,True,[]
504868,Democratic VP nominee on election day?,Will Michelle Obama be D-nom for VP on Election Day?,No,2024-08-11 00:00:00+00:00,0.994,0.006,,,True,[]
504868,Democratic VP nominee on election day?,Will Michelle Obama be D-nom for VP on Election Day?,No,2024-08-12 00:00:00+00:00,0.9935,0.0065,,,True,[]
504868,Democratic VP nominee on election day?,Will Michelle Obama be D-nom for VP on Election Day?,No,2024-08-13 00:00:00+00:00,0.9945,0.0055,,,True,[]
504868,Democratic VP nominee on election day?,Will Michelle Obama be D-nom for VP on Election Day?,No,2024-08-14 00:00:00+00:00,0.9945,0.0055,,,True,[]
504868,Democratic VP nominee on election day?,Will Michelle Obama be D-nom for VP on Election Day?,No,2024-08-15 00:00:00+00:00,0.9935,0.0065,,,True,[]
504868,Democratic VP nominee on election day?,Will Michelle Obama be D-nom for VP on Election Day?,No,2024-08-16 00:00:00+00:00,0.9935,0.0065,,,True,[]
504868,Democratic VP nominee on election day?,Will Michelle Obama be D-nom for VP on Election Day?,No,2024-08-17 00:00:00+00:00,0.995,0.005,,,True,[]
504868,Democratic VP nominee on election day?,Will Michelle Obama be D-nom for VP on Election Day?,No,2024-08-18 00:00:00+00:00,0.991,0.009,,,True,[]
504868,Democratic VP nominee on election day?,Will Michelle Obama be D-nom for VP on Election Day?,No,2024-08-19 00:00:00+00:00,0.99,0.01,,,True,[]
504868,Democratic VP nominee on election day?,Will Michelle Obama be D-nom for VP on Election Day?,No,2024-08-20 00:00:00+00:00,0.986,0.014,,,True,[]
504868,Democratic VP nominee on election day?,Will Michelle Obama be D-nom for VP on Election Day?,No,2024-08-21 00:00:00+00:00,0.988,0.012,,,True,[]
504868,Democratic VP nominee on election day?,Will Michelle Obama be D-nom for VP on Election Day?,No,2024-08-22 00:00:00+00:00,0.9875,0.0125,,,True,[]
504868,Democratic VP nominee on election day?,Will Michelle Obama be D-nom for VP on Election Day?,No,2024-08-23 00:00:00+00:00,0.9905,0.0095,,,True,[]
504868,Democratic VP nominee on election day?,Will Michelle Obama be D-nom for VP on Election Day?,No,2024-08-24 00:00:00+00:00,0.99,0.01,,,True,[]
504868,Democratic VP nominee on election day?,Will Michelle Obama be D-nom for VP on Election Day?,No,2024-08-25 00:00:00+00:00,0.9905,0.0095,,,True,[]
504868,Democratic VP nominee on election day?,Will Michelle Obama be D-nom for VP on Election Day?,No,2024-08-26 00:00:00+00:00,0.992,0.008,,,True,[]
504868,Democratic VP nominee on election day?,Will Michelle Obama be D-nom for VP on Election Day?,No,2024-08-27 00:00:00+00:00,0.992,0.008,,,True,[]
504868,Democratic VP nominee on election day?,Will Michelle Obama be D-nom for VP on Election Day?,No,2024-08-28 00:00:00+00:00,0.993,0.007,,,True,[]
504868,Democratic VP nominee on election day?,Will Michelle Obama be D-nom for VP on Election Day?,No,2024-08-29 00:00:00+00:00,0.993,0.007,,,True,[]
504868,Democratic VP nominee on election day?,Will Michelle Obama be D-nom for VP on Election Day?,No,2024-08-30 00:00:00+00:00,0.994,0.006,,,True,[]
504868,Democratic VP nominee on election day?,Will Michelle Obama be D-nom for VP on Election Day?,No,2024-08-31 00:00:00+00:00,0.9945,0.0055,,,True,[]
504868,Democratic VP nominee on election day?,Will Michelle Obama be D-nom for VP on Election Day?,No,2024-09-01 00:00:00+00:00,0.9945,0.0055,,,True,[]
504868,Democratic VP nominee on election day?,Will Michelle Obama be D-nom for VP on Election Day?,No,2024-09-02 00:00:00+00:00,0.9955,0.0045,,,True,[]
504868,Democratic VP nominee on election day?,Will Michelle Obama be D-nom for VP on Election Day?,No,2024-09-03 00:00:00+00:00,0.9955,0.0045,,,True,[]
504868,Democratic VP nominee on election day?,Will Michelle Obama be D-nom for VP on Election Day?,No,2024-09-04 00:00:00+00:00,0.9955,0.0045,,,True,[]
504868,Democratic VP nominee on election day?,Will Michelle Obama be D-nom for VP on Election Day?,No,2024-09-05 00:00:00+00:00,0.9955,0.0045,,,True,[]
504868,Democratic VP nominee on election day?,Will Michelle Obama be D-nom for VP on Election Day?,No,2024-09-06 00:00:00+00:00,0.9955,0.0045,,,True,[]
504868,Democratic VP nominee on election day?,Will Michelle Obama be D-nom for VP on Election Day?,No,2024-09-07 00:00:00+00:00,0.996,0.004,,,True,[]
504868,Democratic VP nominee on election day?,Will Michelle Obama be D-nom for VP on Election Day?,No,2024-09-08 00:00:00+00:00,0.9975,0.0025,,,True,[]
504868,Democratic VP nominee on election day?,Will Michelle Obama be D-nom for VP on Election Day?,No,2024-09-09 00:00:00+00:00,0.9965,0.0035,,,True,[]
504868,Democratic VP nominee on election day?,Will Michelle Obama be D-nom for VP on Election Day?,No,2024-09-10 00:00:00+00:00,0.996,0.004,,,True,[]
504868,Democratic VP nominee on election day?,Will Michelle Obama be D-nom for VP on Election Day?,No,2024-09-11 00:00:00+00:00,0.997,0.003,,,True,[]
504868,Democratic VP nominee on election day?,Will Michelle Obama be D-nom for VP on Election Day?,No,2024-09-12 00:00:00+00:00,0.996,0.004,,,True,[]
504868,Democratic VP nominee on election day?,Will Michelle Obama be D-nom for VP on Election Day?,No,2024-09-13 00:00:00+00:00,0.9965,0.0035,,,True,[]
504868,Democratic VP nominee on election day?,Will Michelle Obama be D-nom for VP on Election Day?,No,2024-09-14 00:00:00+00:00,0.996,0.004,,,True,[]
504868,Democratic VP nominee on election day?,Will Michelle Obama be D-nom for VP on Election Day?,No,2024-09-15 00:00:00+00:00,0.9955,0.0045,,,True,[]
504868,Democratic VP nominee on election day?,Will Michelle Obama be D-nom for VP on Election Day?,No,2024-09-16 00:00:00+00:00,0.996,0.004,,,True,[]
504868,Democratic VP nominee on election day?,Will Michelle Obama be D-nom for VP on Election Day?,No,2024-09-17 00:00:00+00:00,0.9965,0.0035,,,True,[]
504868,Democratic VP nominee on election day?,Will Michelle Obama be D-nom for VP on Election Day?,No,2024-09-18 00:00:00+00:00,0.9955,0.0045,,,True,[]
504868,Democratic VP nominee on election day?,Will Michelle Obama be D-nom for VP on Election Day?,No,2024-09-19 00:00:00+00:00,0.9965,0.0035,,,True,[]
504868,Democratic VP nominee on election day?,Will Michelle Obama be D-nom for VP on Election Day?,No,2024-09-20 00:00:00+00:00,0.997,0.003,,,True,[]
